country,year,ovi_oil
CAN,2001,6.011492342025247
CAN,2002,5.7610889678424835
CAN,2003,5.584958879112174
CAN,2004,5.355238803510182
CAN,2005,5.472881421712381
CAN,2006,5.825002261290234
CAN,2007,5.240664904645805
CAN,2008,5.441135137914836
CAN,2009,5.5624193459918105
CAN,2010,5.314074706792495
CAN,2011,5.258562066183951
CAN,2012,5.212015118549463
CAN,2013,5.195381171001203
CAN,2014,5.215697580753336
CAN,2015,5.169989941326586
CAN,2016,5.190813320881948
CAN,2017,5.241385066407358
CAN,2018,5.088786235117958
CAN,2019,5.0710302973473995
CAN,2020,5.774675205104493
CAN,2021,5.652767836145911
CAN,2022,5.429586994770841
CAN,2023,5.367116565492622
MEX,2001,2.160357518718346
MEX,2002,2.2665656408586417
MEX,2003,2.1949752087432923
MEX,2004,2.0986645973857945
MEX,2005,1.9675949913659296
MEX,2006,2.0173368543545553
MEX,2007,1.9305474455890643
MEX,2008,1.8795291074434384
MEX,2009,1.9545486216999268
MEX,2010,2.011043195119613
MEX,2011,1.9906883118681775
MEX,2012,1.9644676445876763
MEX,2013,2.0182742653650534
MEX,2014,2.094584232122235
MEX,2015,2.1448279158367587
MEX,2016,2.095983903996074
MEX,2017,2.1438968306018813
MEX,2018,2.276536654846325
MEX,2019,2.401088642453604
MEX,2020,2.721324951054617
MEX,2021,2.4662731665057183
MEX,2022,2.2601045062510936
MEX,2023,2.3673862546709312
USA,2001,3.1797954038608403
USA,2002,3.1616762490633428
USA,2003,3.118718014493999
USA,2004,3.0137669444427546
USA,2005,3.003479967414587
USA,2006,3.0201381920960033
USA,2007,3.021165984443244
USA,2008,3.204378362376561
USA,2009,3.328407476247888
USA,2010,3.2579185917288873
USA,2011,3.3065458853426
USA,2012,3.380460147968504
USA,2013,3.294166562922491
USA,2014,3.271064983778435
USA,2015,3.198854439301417
USA,2016,3.1728209881321563
USA,2017,3.131470547009096
USA,2018,3.0460269074880473
USA,2019,3.041390943455981
USA,2020,3.4355643076545213
USA,2021,3.1412390038496443
USA,2022,3.122349791538966
USA,2023,3.0815690778951574
ARG,2001,4.234121437932941
ARG,2002,4.4916839660746035
ARG,2003,4.41075000288368
ARG,2004,4.052193154114706
ARG,2005,3.902897010554405
ARG,2006,3.720107937812167
ARG,2007,3.3978999567998356
ARG,2008,3.3971966800320073
ARG,2009,3.570911539486188
ARG,2010,3.3193249188699676
ARG,2011,3.137739966288975
ARG,2012,2.928891932931899
ARG,2013,2.4740366284253024
ARG,2014,2.6393042076909214
ARG,2015,2.579292831481349
ARG,2016,2.6333401474323836
ARG,2017,2.6824888550257873
ARG,2018,2.8179446348180397
ARG,2019,3.2049276982874404
ARG,2020,3.6942604509276937
ARG,2021,3.098153038145202
ARG,2022,2.728625815797165
ARG,2023,2.813673526890648
BRA,2001,1.613080960020604
BRA,2002,1.637171482911422
BRA,2003,1.693744794875234
BRA,2004,1.6273019992857392
BRA,2005,1.5902493614929598
BRA,2006,1.5635611659760582
BRA,2007,1.455964638465941
BRA,2008,1.3502882762591644
BRA,2009,1.33228327449023
BRA,2010,1.2505558140090487
BRA,2011,1.2180538774241665
BRA,2012,1.1758378916822856
BRA,2013,1.1138848754013575
BRA,2014,1.074520950251176
BRA,2015,1.0942365393228908
BRA,2016,1.1631224191184413
BRA,2017,1.1491363342258163
BRA,2018,1.1651005734794984
BRA,2019,1.128660923335023
BRA,2020,1.209380942745151
BRA,2021,1.155739757374718
BRA,2022,1.1193386744911182
BRA,2023,1.0802612839918675
CHL,2001,1.0639932434773356
CHL,2002,1.046912051309109
CHL,2003,1.0569038248346485
CHL,2004,0.9649269513235592
CHL,2005,0.9383203943477426
CHL,2006,0.9096746605427444
CHL,2007,0.732528410698329
CHL,2008,0.6984036978794724
CHL,2009,0.7337990379401866
CHL,2010,0.792750800194158
CHL,2011,0.7660374638445349
CHL,2012,0.73676265987527
CHL,2013,0.7399191015705515
CHL,2014,0.7423715314677894
CHL,2015,0.7587003691504652
CHL,2016,0.7189985005725879
CHL,2017,0.7046656003115992
CHL,2018,0.6800875459922553
CHL,2019,0.6818567050173205
CHL,2020,0.746137344521807
CHL,2021,0.678539765103677
CHL,2022,0.6272970810090029
CHL,2023,0.63429713529692
Colombia,2001,15.907952260492978
Colombia,2002,16.048835650371398
Colombia,2003,16.09864990233889
Colombia,2004,15.009155630436592
Colombia,2005,15.101784190947615
Colombia,2006,14.027346410530184
Colombia,2007,13.632369314613843
Colombia,2008,13.882742879141215
Colombia,2009,13.744380181364509
Colombia,2010,12.956377773810257
Colombia,2011,12.201052606485453
Colombia,2012,11.493609102645518
Colombia,2013,10.858075184314853
Colombia,2014,10.2347179034791
Colombia,2015,10.162604516524802
Colombia,2016,9.159258961085111
Colombia,2017,9.213186105541224
Colombia,2018,8.789074199725345
Colombia,2019,8.752783451990165
Colombia,2020,10.49798129362864
Colombia,2021,8.917212322671235
Colombia,2022,7.668335633690615
Colombia,2023,7.953617498339263
Ecuador,2001,8.12292979935435
Ecuador,2002,8.167028712906875
Ecuador,2003,7.933566244607948
Ecuador,2004,7.571603290183438
Ecuador,2005,6.918552774313233
Ecuador,2006,6.51420307248675
Ecuador,2007,6.403859751167277
Ecuador,2008,6.222547683564647
Ecuador,2009,6.137948527360328
Ecuador,2010,5.309420852529535
Ecuador,2011,5.175645258372076
Ecuador,2012,5.023281319977901
Ecuador,2013,4.730040700096384
Ecuador,2014,4.494733069112554
Ecuador,2015,4.6036240994622855
Ecuador,2016,4.881168488811044
Ecuador,2017,4.93484632558827
Ecuador,2018,4.584229666946621
Ecuador,2019,4.694073531883481
Ecuador,2020,5.763169281184638
Ecuador,2021,4.706116239053847
Ecuador,2022,4.313792634448215
Ecuador,2023,4.103687054411529
PER,2001,3.4675613002039274
PER,2002,3.4747949490851298
PER,2003,3.648352886101446
PER,2004,3.317109339622195
PER,2005,3.318830907514064
PER,2006,3.4372709925032656
PER,2007,3.2767032331336217
PER,2008,2.93070850175479
PER,2009,2.843285668705349
PER,2010,2.675251062100346
PER,2011,2.417921159709627
PER,2012,2.3771649210807784
PER,2013,2.2512405161722535
PER,2014,2.281031233378255
PER,2015,2.137454029827768
PER,2016,2.0145434962358384
PER,2017,1.9660476377392109
PER,2018,1.909480059177152
